2022-03-08 23:07:22,911 CRITICAL server_log_config.py Критическая ошибка
2022-03-08 23:07:22,912 ERROR server_log_config.py Ошибка
2022-03-08 23:07:22,913 DEBUG server_log_config.py Отладочная информация
2022-03-08 23:07:22,913 INFO server_log_config.py Информационное сообщение
2022-03-08 23:07:36,118 CRITICAL server_log_config.py Критическая ошибка
2022-03-08 23:07:36,118 ERROR server_log_config.py Ошибка
2022-03-08 23:07:36,118 DEBUG server_log_config.py Отладочная информация
2022-03-08 23:07:36,118 INFO server_log_config.py Информационное сообщение
2022-03-08 23:21:34,900 INFO server.py Запущен сервер, порт для подключений: 7777 
2022-03-08 23:24:12,263 INFO server.py Запущен сервер, адрес сервера: 127.0.0.1 порт для подключений: 7777 
2022-03-09 15:47:12,554   CRITICAL server_log_config.py Критическая ошибка
2022-03-09 15:47:12,554   ERROR server_log_config.py Ошибка
2022-03-09 15:47:12,554   DEBUG server_log_config.py Отладочная информация
2022-03-09 15:47:12,554   INFO server_log_config.py Информационное сообщение
2022-03-09 15:47:36,774   CRITICAL   server_log_config.py Критическая ошибка
2022-03-09 15:47:36,774   ERROR      server_log_config.py Ошибка
2022-03-09 15:47:36,775   DEBUG      server_log_config.py Отладочная информация
2022-03-09 15:47:36,775   INFO       server_log_config.py Информационное сообщение
2022-03-09 15:48:18,954   CRITICAL   server_log_config.py  Критическая ошибка
2022-03-09 15:48:18,955   ERROR      server_log_config.py  Ошибка
2022-03-09 15:48:18,955   DEBUG      server_log_config.py  Отладочная информация
2022-03-09 15:48:18,955   INFO       server_log_config.py  Информационное сообщение
2022-03-09 15:48:34,808   INFO       server.py             Запущен сервер, адрес сервера: 127.0.0.1 порт для подключений: 7777 
2022-03-09 15:51:01,488   INFO       server.py             Запущен сервер, адрес сервера: 127.0.0.1порт для подключений: 7777
2022-03-09 15:54:18,239   CRITICAL   server.py             Попытка запуска сервера с недопустимым портом: 1000. Порт сервера должен быть в диапазоне от "1024" до "65535"
2022-03-09 16:31:24,325   INFO       server.py             Запущен сервер, адрес сервера: 127.0.0.1 порт для подключений: 7777 
2022-03-09 16:31:31,459   INFO       server.py             Подключен клиент с адресом ('127.0.0.1', 59536)
2022-03-09 16:31:31,459   DEBUG      server.py             Получено сообщение от клиента: {'action': 'presence', 'time': 1646832691.4588208, 'user': {'account_name': 'Guest'}}
2022-03-09 16:31:31,459   INFO       server.py             Разбор сообщения от клиента: {'action': 'presence', 'time': 1646832691.4588208, 'user': {'account_name': 'Guest'}}
2022-03-09 16:31:31,459   INFO       server.py             Сформирован ответ клиенту: {'status_code': 200, 'status': 'OK'}
2022-03-09 16:31:31,459   DEBUG      server.py             Закрытие соединения с клиентом: ('127.0.0.1', 59536)
2022-03-09 16:37:48,043   INFO       server.py             Подключен клиент с адресом ('127.0.0.1', 59562)
2022-03-09 16:37:48,043   DEBUG      server.py             Получено сообщение от клиента: {'action': 'presence', 'time': 1646833068.0422153, 'user': {'account_name': 'Guest'}}
2022-03-09 16:37:48,043   INFO       server.py             Разбор сообщения от клиента: {'action': 'presence', 'time': 1646833068.0422153, 'user': {'account_name': 'Guest'}}
2022-03-09 16:37:48,043   INFO       server.py             Сформирован ответ клиенту: {'status_code': 200, 'status': 'OK'}
2022-03-09 16:37:48,043   DEBUG      server.py             Закрытие соединения с клиентом: ('127.0.0.1', 59562)
2022-03-09 16:47:36,618   INFO       server.py             Запущен сервер, адрес сервера: 127.0.0.1 порт для подключений: 7777 
2022-03-09 16:47:59,586   INFO       server.py             Подключен клиент с адресом ('127.0.0.1', 59600)
2022-03-09 16:47:59,586   INFO       server.py             Получено сообщение от клиента: {'action': 'presence', 'time': 1646833679.5868056, 'user': {'account_name': 'Guest'}}
2022-03-09 16:47:59,586   DEBUG      server.py             Разбор сообщения от клиента: {'action': 'presence', 'time': 1646833679.5868056, 'user': {'account_name': 'Guest'}}
2022-03-09 16:47:59,587   DEBUG      server.py             Сформирован ответ клиенту: {'status_code': 200, 'status': 'OK'}
2022-03-09 16:47:59,587   INFO       server.py             Закрытие соединения с клиентом: ('127.0.0.1', 59600)
